CO_LOCAL_OFERTA_IES|NO_LOCAL_OFERTA|CO_IES
2006206|Polo de Apoio Presencial - São Pedro do Ivaí|1491
2006215|SOBRAL|1491
2006221|PAP Tanque Novo|1491
2003909|SÃO PAULO - CONGONHAS|1491
2003910|PAP SÃO PAULO (PARQUE EDU CHAVES) - SP|1491
2003911|SÃO PAULO - LUZ|1491
2005974|CATANDUVAS|1491
2005975|CAXIAS DO SUL|1491
2005979|Polo de Apoio Presencial - Cianorte|1491
2006082|MARICÁ (ITAIPUAÇU)|1491
2006087|Polo de Apoio Presencial - Matinhos|1491
2006094|PAP Natal|1491
2006222|TEIXEIRA DE FREITAS|1491
2006225|POLO DE APOIO PRESENCIAL - TERESINHA (PAISSANDÚ)|1491
2003912|PAP SAO PAULO (PENHA) - SP|1491
2003914|PAP SÃO PAULO (MOZARTEUM) - SP|1491
2005980|Polo de Apoio Presencial - Colorado|1491
2005985|CRUZ ALTA|1491
2005988|Polo de Apoio Presencial - Curitiba (Catedral)|1491
2006098|PAP NOVA FRIBURGO|1491
2006100|POLO DE APOIO PRESENCIAL - NOVA MUTUM|1491
2006102|NOVA HAMBURGO|1491
2006234|Polo de Apoio Presencial - Tucurui|1491
2006236|UBERLÂNDIA|1491
2003920|SUMARÉ|1491
2003922|PAP TATUÍ|1491
2003923|TAUBATÉ - COLÉGIO JARDIM DAS NAÇÕES|1491
2005989|CURITIBA - DR. PEDROSA|1491
2005992|PAP DESCALVADO|1491
2006104|PAP OURINHOS|1491
2006108|POLO DE APOIO PRESENCIAL - PALMAS ( SETOR SUL)|1491
2006239|Polo de Apoio Presencial - União da Vitória (PR)|1491
2006240|URUGUAIANA|1491
2003925|VALINHOS - UNITEC|1491
2003927|PAP VINHEDO - SP|1491
2005995|DUQUE DE CAXIAS (CENTRO, GPI)|1491
2006000|FAXINAL|1491
2006109|PALMEIRA|1491
2006116|PARANAVAÍ (CENTRO)|1491
2006121|PATO BRANCO|1491
2006271|SÃO LOURENÇO - MG|1491
2006272|SOBRADINHO|1491
2006273|PAP SUZANO - SP|1491
2006275|PANAMBI|1491
2003933|PALMAS - CENTRO|1491
2005902|ALPINÓPOLIS|1491
2006012|Polo de Apoio Presencial - Goiania|1491
2006013|Polo de Apoio Presencial - Goioere|1491
2006122|Polo de Apoio Presencial - Patos|1491
2006127|PAP PERUIBE - SP|1491
2007994|SaO PEDRO DO IVAi|1491
2008004|PALMEIRA|1491
2008005|MATINHOS|1491
2008006|MANDIRITUBA|1491
2005904|POLO DE APOIO PRESENCIAL - ALTAMIRA (PREMEM)|1491
2005909|PAP AMERICANA|1491
2006014|GOVERNADOR VALADARES - MG|1491
2006016|Polo de Apoio Presencial - Guaíra II|1491
2006129|PAP Petropolis|1491
2006133|PIRAQUARA (EDUSOL)|1491
2006267|GUARÁ|1491
2006268|JACUNDA (COLEGIO OBJETIVO)|1491
2006269|PONTA GROSSA II|1491
2005912|POLO DE APOIO PRESENCIAL - ANTONINA|1491
2005913|APUCARANA (UNILLUZ)|1491
2006018|Polo de Apoio Presencial - Guarapuava (Edusol)|1491
2006021|GUARULHOS (CENTRO)|1491
2006142|PAP PRESIDENTE PRUDENTE|1491
2006143|PRUDENTÓPOLIS|1491
2006144|Polo de Apoio Presencial - Quedas do Iguaçu|1491
2006277|PAP CURITIBA (TIRADENTES) - SEDE|1491
2007991|UNIaO DA VIToRIA|1491
2005915|ARACAJÚ|1491
2005917|Polo de Apoio Presencial - Arapiraca|1491
2006022|POLO DE APOIO PRESENCIAL - GUARULHOS ( TABOÃO)|1491
2006023|Polo de Apoio Presencial - Gurupi|1491
2006147|Polo de Apoio Presencial - Realeza|1491
2006148|PAP Recife|1491
2006242|VARGINHA - MG|1491
2006244|VERÊ|1491
2006247|XANXERÊ|1491
2005919|Polo de Apoio Presencial - Araucaria|1491
2005923|ASTORGA|1491
2005924|PAP AVARÉ|1491
2006024|PAP HORTOLANDIA|1491
2006025|Polo de Apoio Presencial - Ibaiti|1491
2006031|ILHÉUS|1491
2006149|REDENÇÃO|1491
2006151|RIO BRANCO DO SUL|1491
2006270|SANTIAGO|1491
2005925|BALNEÁRIO CAMBORIÚ|1491
2005926|Polo de Apoio Presencial - Barcarena|1491
2006040|ITAJAÍ|1491
2006044|PAP ITAPEVA|1491
2006153|RIO DE JANEIRO (MADUREIRA, GPI)|1491
2006157|RIO GRANDE|1491
2007992|UBIRATa|1491
2005936|BOA VISTA|1491
2005943|CAÇAPAVA DO SUL|1491
2005947|PAP Camaçari|1491
2006049|PAP ITARARÉ|1491
2006052|Polo de Apoio Presencial - Jacarezinho|1491
2006053|Polo de Apoio Presencial - Jaguariaiva|1491
2006158|RIO NEGRINHO|1491
2006170|SANTA MARIA|1491
2006176|Polo de Apoio Presencial - Santarem|1491
2006266|ELDORADO DOS CARAJÁS|1491
2005950|PAP CAMPINAS (CENTRO)|1491
2005957|Polo de Apoio Presencial - Campo Mourão|1491
2006054|JARAGUÁ DO SUL|1491
2006057|PAP JAÚ|1491
2006177|SANTO ANDRÉ (CENTRO)|1491
2006181|Polo de Apoio Presencial - São Bento do Sul|1491
2003893|SANTO ANDRÉ (CENTRO)|1491
2003895|PAP SANTOS (COLEGIO DOM BOSCO) - SP|1491
2003900|PAP SÃO JOSÉ DO RIO PARDO (CENTRO)|1491
2005964|Polo de Apoio Presencial - Capanema PR|1491
2005965|CAPELINHA|1491
2006058|JI-PARANÁ|1491
2006064|PAP JUNDIAÍ - SP|1491
2006066|POLO DE APOIO PRESENCIAL - LAGES|1491
2006191|SÃO JOSÉ DO CEDRO|1491
