1|UNIVERSIDADE FEDERAL DE MATO GROSSO|UFMT
2|UNIVERSIDADE DE BRASÍLIA|UNB
3|UNIVERSIDADE FEDERAL DE SERGIPE|UFS
4|UNIVERSIDADE FEDERAL DO AMAZONAS|UFAM
6|UNIVERSIDADE FEDERAL DE OURO PRETO|UFOP
10|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ|PUCPR
11|UNIVERSIDADE CATÓLICA DE PERNAMBUCO|UNICAP
13|UNIVERSIDADE DE CAXIAS DO SUL|UCS
14|UNIVERSIDADE DO VALE DO RIO DOS SINOS|UNISINOS
15|UNIVERSIDADE CATÓLICA DE PETRÓPOLIS|UCP
18|UNIVERSIDADE CATÓLICA DE PELOTAS|UCPEL
19|PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS|PUC-CAMPINAS
20|UNIVERSIDADE DE PASSO FUNDO|UPF
21|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL|PUCRS
22|UNIVERSIDADE PRESBITERIANA MACKENZIE|MACKENZIE
195|FACULDADE MORAES JÚNIOR - MACKENZIE RIO|FMJ - MACKENZIE RIO
23|UNIVERSIDADE FEEVALE|FEEVALE
24|UNIVERSIDADE ESTADUAL DE SANTA CRUZ|UESC
26|ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS|ENCE
27|UNIVERSIDADE VALE DO RIO VERDE|UNINCOR
29|UNIVERSIDADE ESTADUAL DO CEARÁ|UECE
30|UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO|UNIFENAS
31|CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG|UTRAMIG
32|UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL|UNCISAL
4025|FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO|FATECRP
34|FACULDADE DE TECNOLOGIA DE SÃO PAULO|FATEC-SP
4026|FACULDADE DE TECNOLOGIA ZONA LESTE|FATEC-ZL
33|FACULDADE DE TECNOLOGIA DE SOROCABA|FATEC SO
1583|FACULDADE DE TECNOLOGIA DE INDAIATUBA|FATEC-ID
4022|FACULDADE DE TECNOLOGIA DE JUNDIAÍ|FATEC/JD
4021|FACULDADE DE TECNOLOGIA DE GARÇA|FATECGA
967|FACULDADE DE TECNOLOGIA DE TAQUARITINGA|FATEC/TQ
4024|FACULDADE DE TECNOLOGIA DE MOCOCA|FATEC
35|FACULDADE DE TECNOLOGIA DE AMERICANA|FATEC-AM
4020|FACULDADE DE TECNOLOGIA DE BOTUCATU|FATEC BT
37|FACULDADE DE TECNOLOGIA DE JAHU|FATEC-JAHU
36|FACULDADE DE TECNOLOGIA RUBENS LARA|FATEC-BS
1584|FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ|FATEC GT
4023|FACULDADE DE TECNOLOGIA DE MAUÁ|FATEC MAUÁ
1874|FACULDADE DE TECNOLOGIA DE OURINHOS|FATEC
